,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
189,Lexus,2008,Nigerian Used,157465,2500,Petrol,Automatic,"3,150,000",
190,Toyota,2010,Nigerian Used,322341,1800,Petrol,Automatic,"4,160,000",
191,Toyota,2009,Foreign Used,262829,3500,Petrol,Automatic,"7,985,250",SUV
192,Hyundai,2015,Nigerian Used,94415,2400,Petrol,Automatic,"6,448,000",
193,Honda,2010,Foreign Used,166463,3500,Petrol,Automatic,"5,250,000",
194,Toyota,2005,Foreign Used,355845,2400,Petrol,Automatic,"3,640,000",
195,Honda,2007,Nigerian Used,52537,1800,Petrol,Automatic,"4,725,000",
196,Toyota,2017,Nigerian Used,99756,1800,Petrol,Automatic,"8,840,000",
197,Nissan,2006,Nigerian Used,197343,4000,Petrol,Automatic,"3,675,000",SUV
198,Nissan,2012,Nigerian Used,128748,3500,Petrol,CVT,"3,990,000",SUV
199,Lexus,2020,Foreign Used,27550,3500,Petrol,Automatic,"32,550,000",SUV
200,Kia,2017,Nigerian Used,29034,1600,Petrol,Automatic,"4,225,000",
201,Toyota,2014,Nigerian Used,69987,3500,Petrol,Automatic,"9,360,000",SUV
202,Toyota,2007,Foreign Used,123115,2800,Petrol,Automatic,"3,360,000",
203,Ford,2014,Nigerian Used,126528,1600,Petrol,Automatic,"4,200,000",SUV
204,Toyota,2008,Nigerian Used,109660,3500,Petrol,Automatic,"3,307,500",SUV
205,Toyota,2010,Nigerian Used,310362,3500,Petrol,Automatic,"5,840,000",SUV
206,Mercedes-Benz,2011,Nigerian Used,54162,3500,Petrol,Automatic,"5,250,000",SUV
207,Toyota,2010,Foreign Used,157036,2500,Petrol,Automatic,"5,200,000",
208,Lexus,2010,Nigerian Used,192551,4600,Petrol,Automatic,"13,125,000",SUV
209,Lexus,2006,Foreign Used,299781,3300,Petrol,Automatic,"6,300,000",SUV
210,Honda,2016,Foreign Used,32310,2400,Petrol,Automatic,"7,325,000",
211,Hyundai,2012,Nigerian Used,81231,2400,Petrol,Automatic,"3,675,000",SUV
212,Toyota,2013,Nigerian Used,149529,1800,Petrol,Automatic,"4,160,000",
213,Mazda,2009,Nigerian Used,232024,3000,Petrol,Automatic,"3,675,000",
214,Toyota,2012,Nigerian Used,117040,3500,Petrol,Automatic,"4,410,000",
215,Toyota,2007,Foreign Used,123115,2800,Petrol,Automatic,"3,360,000",
216,Toyota,2005,Nigerian Used,291136,3300,Petrol,Automatic,"4,992,000",
217,Toyota,2010,Nigerian Used,310362,3500,Petrol,Automatic,"5,840,000",SUV
218,Toyota,2007,Foreign Used,406934,2400,Petrol,Automatic,"5,720,000",SUV
219,Mercedes-Benz,2009,Nigerian Used,196439,3000,Petrol,Automatic,"3,570,000",
220,Toyota,2011,Nigerian Used,99371,1800,Petrol,Automatic,"3,640,000",
221,Lexus,2007,Nigerian Used,136872,3500,Petrol,Automatic,"3,570,000",
222,Kia,2017,Nigerian Used,29034,1600,Petrol,Automatic,"4,225,000",
223,Toyota,2014,Nigerian Used,69987,3500,Petrol,Automatic,"9,360,000",SUV
224,Ford,2014,Nigerian Used,,1600,Petrol,Automatic,"3,150,000",
225,Toyota,2005,Nigerian Used,223938,1800,Petrol,Automatic,"3,120,000",
226,Toyota,2011,Nigerian Used,108763,2500,Petrol,Automatic,"3,360,000",
227,Toyota,2012,Nigerian Used,117040,3500,Petrol,Automatic,"4,410,000",
228,Lexus,2008,Nigerian Used,77397,3500,Petrol,Automatic,"4,620,000",SUV
229,Honda,2017,Nigerian Used,39985,2400,Petrol,Automatic,"6,405,000",
230,Toyota,2011,Nigerian Used,99371,1800,Petrol,Automatic,"3,640,000",
231,Toyota,2012,Nigerian Used,92564,2500,Petrol,Automatic,"4,992,000",
232,Mercedes-Benz,2009,Nigerian Used,196439,3000,Petrol,Automatic,"3,570,000",
233,Honda,2016,Foreign Used,32310,2400,Petrol,Automatic,"7,325,000",
234,Land Rover,2015,Foreign Used,65,3000,Petrol,Automatic,"23,100,000",SUV
235,Hyundai,2012,Nigerian Used,81231,2400,Petrol,Automatic,"3,675,000",SUV
236,Lexus,2007,Nigerian Used,136872,3500,Petrol,Automatic,"3,570,000",
